Date,Open,High,Low,Close,Volume
2020-04-02,7317.453,7501.699,7307.945,7487.311,3355616700.0
2020-04-01,7459.5,7566.371,7301.98,7360.582,3427524300.0
2020-03-31,7740.059,7880.313,7642.863,7700.098,3775521000.0
2020-03-30,7583.461,7784.348,7539.965,7774.151,3577617000.0
2020-03-27,7554.25,7716.242,7491.137,7502.377,3698619300.0
2020-03-26,7462.207,7809.824,7462.207,7797.537,3719860500.0
2020-03-25,7421.359,7671.207,7276.398,7384.295,4339789200.0
2020-03-24,7196.148,7418.375,7169.859,7417.857,4108163400.0
2020-03-23,6847.285,6984.941,6631.422,6860.673,4027467300.0
2020-03-20,7248.066,7354.444,6854.67,6879.518,4873144200.0
2020-03-19,6996.453,7341.379,6858.383,7150.578,4428818100.0
2020-03-18,6902.316,7182.828,6686.355,6989.844,4548462600.0
2020-03-17,7072.0,7406.23,6828.914,7334.782,4557000000.0
2020-03-16,7392.73,7422.199,6882.863,6904.592,4272754800.0
2020-03-13,7610.387,7875.929,7219.094,7874.875,4357877700.0
2020-03-12,7398.578,7712.332,7194.672,7201.802,4711872900.0
2020-03-11,8136.246,8181.359,7850.945,7952.051,3974717700.0
2020-03-10,8219.762,8347.398,7930.43,8344.253,4121694900.0
2020-03-09,7957.93,8243.313,7943.164,7950.676,4213225500.0
2020-03-06,8469.016,8612.359,8375.133,8575.618,3980260500.0
2020-03-05,8790.09,8921.078,8677.387,8738.595,3485723700.0
2020-03-04,8834.098,9019.957,8757.656,9018.088,3350669100.0
2020-03-03,8965.104,9070.322,8602.895,8684.09,4033131000.0
2020-03-02,8667.145,8952.809,8543.355,8952.165,3936466800.0
2020-02-28,8269.739,8591.818,8264.159,8567.367,4930088100.0
2020-02-27,8744.032,8904.111,8562.047,8566.479,3627697500.0
2020-02-26,9011.551,9148.324,8927.797,8980.774,3318081900.0
2020-02-25,9301.199,9315.258,8940.488,8965.612,3332562000.0
2020-02-24,9188.44,9322.88,9166.01,9221.28,2954610000.0
2020-02-21,9708.012,9715.949,9542.328,9576.59,2550999300.0
2020-02-20,9799.2,9820.86,9636.94,9750.97,2544117300.0
2020-02-19,9782.809,9838.371,9777.098,9817.18,2290152900.0
2020-02-18,9679.04,9747.68,9675.8,9732.74,2114317800.0
2020-02-14,9728.906,9746.363,9693.051,9731.176,2066683200.0
